tanggal,sumber,nama_media,kategori,judul,sentimen,sub_isu,tier_media,link,tipe_sumber,sumber_engine
2026-09-20,jatimupdate.id,jatimupdate.id,Akademik & Umum,Prodi Ilmu Politik UNESA Gelar PKM Literasi Digital Keluarga untuk Tangkal Hoaks dan Polarisasi Sosial,Netral,-,Tier 2 (Regional),https://news.google.com/rss/articles/CBMi0gFBVV95cUxORzZsY1VWR2R0S3BIVTV6RldoRTg3MW9yUHNpLVF2a01vTk9fZndydlNxekJicFlBTGlTeXVhX3R2Y0w4QWxSVWEwOEdWcEl4TU1HMGQ5c2U0VVh4alZ1a1oteV9KNnVURGJPOW9mVHFSNjhBTTNRaFVFckltRkJWQk9Vdk5tcDhvbHZLLUxiTHR3RHRRTGdjY3dlQ0VlVGNZV2tJekVhdVM3VGdOcW5QR2dwTXpNZFozeU1rNW5kTjdjOTdNNjRobzJGSE4wWEFfZlE?oc=5,,
2026-09-16,Universitas Bung Hatta,Universitas Bung Hatta,Riset & Inovasi,FH Universitas Bung Hatta dan FH UNESA Perkuat Kolaborasi Riset dan Publikasi Ilmiah,Netral,-,Tier 2 (Regional),https://news.google.com/rss/articles/CBMiswFBVV95cUxQeW9IZmh5LWU3UzJZb3NPSUpwZmFHenNkZjl0SFl6cUpHcWhadlh2LUdUM2JfZmtWd2FfLXQxSjJzdWhWTU85VWxyMnh6WWtqOU5Nd3V6TjlKZlZhVl9wRHBNSjBIYWpQRVZaZ0w5alhyV2pTcmpxS2l0bnIyZXh2cVZkYXhGZmFJdGdPb0NBRHVPSEw2MWtUaVNsLWpYRkJ3ZFVTcWJwdG9WdVBMTVVUUC1WQQ?oc=5,,
2026-09-20,iNews.ID,iNews.ID,Akademik & Umum,"610 Perenang Turun ke Kolam Unesa, Persaingan Fun Swimming 2026 Makin Sengit",Netral,-,Tier 2 (Regional),https://news.google.com/rss/articles/CBMiswFBVV95cUxNeFQyRlN6bGZMZ0tpMzlRSGtLOEVlU2c3bTBRbWxianlhaVhvcUhRd0F6WkRiTV9zdW16cVB4aDBrcndESFZfRWFMVU9oUndRU1Q5Y3lqWXcyMDQzUnA2NDV6cXQ3V0tVdTJadGZfSUctd0lQSUhMR0pJc1VGM2JfMnlTX0s5VEdsaThRMGZ3a25zOEZVQndHTnk2Z3Z2X1ItR3ZiaTEyMlVVTHhuaVVPZ3BINNIBsgFBVV95cUxOSVlCZEdINEFiTHJQaGFzZHV3VERqUW9ZaENzaUlabWFtMlJMXzRRTjFsTGN0LUdtZ0ZOeFlZbmlVUUxSRmpaU0lDZFVESTQyRS00SUNkM1JtZDZRTkJBN01RbFZnZmdkYnhIUVVlN3NDdEFMRkp0a2JSSkFqUWQ4Tng5R25qN3JiOEhUX2hidEZNZkNTS3AycWdwQTJ0ZUlNTTR1blZETWJuWFJSWUhWXzNn?oc=5,,
2026-09-20,memoonline.co.id,memoonline.co.id,Akademik & Umum,SMA Labschool Unesa 1 Gelar Bimtek Penguatan Sistem Penjaminan Mutu Internal (SPMI),Netral,-,Tier 2 (Regional),https://news.google.com/rss/articles/CBMiuAFBVV95cUxOYUlFdWRuRWNYc216NjlhSEU4cDh4dkY4TUZVeFpXSkZWOXRzbjdFTnQtWEV3Q3hVdUgzODVzWFo0SnhjenNzcl9KanBsMU5ua3NpNm9RdE5TcmZSQzRtQU9aam5OdHNNQVlGVkxCX1RWaERNSTRkZzYtUXVneXRhTm5wd1JFd1VZUUxSemVaX3FxT1VYQkR0UnBsdEZYdkdFR3drNjJDeUpsTE56VkpIUTlGV1BJODMw?oc=5,,
2026-04-13,Bappenas,Bappenas,Akademik & Umum,"Bappenas: UNESA Cetak Guru Berkualitas, Kunci Wujudkan SDM Unggul",Positif,-,Tier 2 (Regional),https://news.google.com/rss/articles/CBMipgFBVV95cUxPS2N0Y3pCOFZramV2WjhlWVdkS3BsUXBiRnB1Sm4ySFZ6c3ZsMnpvZ3JKNmt6VEdHeEtQTEhoc1lJQTBGTTlDYjJiVnVubmVVdUl6MjlTb0wxeGZ6WUFDLWNCMEJpSDdEMG4xNzlEaGU0Mk1KYTBvV3YzYm1vNlk3dTRseTRvckFBMlBoSnpKTnlXZURoaENwaXFNTXY5LXYtbVoyelpn?oc=5,,
2026-09-20,memoonline.co.id,memoonline.co.id,Kemahasiswaan,Andri Haris Setiawan Ajak Mahasiswa Pahami Batas Kekuasaan di Pelatihan DPM FMIPA Unesa,Netral,-,Tier 2 (Regional),https://news.google.com/rss/articles/CBMiwAFBVV95cUxQMDFhU0tFVXZUUWZvbmF5Z2Mzem9Ial9WV1VySHc5dzJWNWluR3dqRUFPYWJwMEF3LXdUUG9MaFBZbEhxdXRqT0JqMllYMVREX0M3bjNiaEoxWjBKaHd5MmRfelNyUnhkeWV0V1RsTWxoeGFtM29VeTh1VnVSWks0U0NxUlh0c2Vxdi1FbGpSSkxCb0dXR1BMTHk0aElwVTh4STVaNlNfMEY2R2JlY0N2Z1VxcUlNR05MbFloU2lvM3c?oc=5,,
2026-06-25,Mahkamah Konstitusi,Mahkamah Konstitusi,Kemahasiswaan,Mahasiswa Unesa Minta Pembentukan Lembaga Perlindungan Data Pribadi,Netral,-,Tier 2 (Regional),https://news.google.com/rss/articles/CBMiogFBVV95cUxNdjFPVUxYalc1QXYtQmVHUmc5Q0pQU0F1dnhLVjJzVC1DZ2QwT0JaWWkzWlYtc2ZpU2VtVU1vUlpqVUs2dFRNNlFVQy12TWZxb2RyZjVjOW51N3kzMlozRVUzZ19EaU9JRnp3ZlJjT2F6UVMwS3FUVGJIa1ZDYjRuU3F4cmhKS2FQLXVMaElCbm50MEZYWjhSVi1aMFBJaTliQUE?oc=5,,
2026-05-18,Mahkamah Konstitusi,Mahkamah Konstitusi,Kemahasiswaan,Mahasiswa Universitas Negeri Surabaya Pelajari Visi dan Misi MK,Netral,-,Tier 2 (Regional),https://news.google.com/rss/articles/CBMinAFBVV95cUxOZWlXWmw5TUIyZVJwVGhaVWw1XzROU01YejR1SjdGOHg1YVphX0VOeHlhWTg4MG4yN1d1QjZka3lWcWotdjN5X1BRWDRiYWVnOF82eTItREFXc1NlZDdxUFo2NV9GcjF3VVRPS1YyMl8wd0NaY2UzZ1BfWjgxczVlQm1wN0ZYeGxZWXlHWV9GTFhPWGZhNmx0WExPaVA?oc=5,,
2026-09-19,belarakyat.com,belarakyat.com,Akademik & Umum,"Isi Pelatihan DPM FMIPA Unesa, Andri Haris Setiawan Ajak Pengurus Ormawa Pahami Trias Politica",Netral,-,Tier 2 (Regional),https://news.google.com/rss/articles/CBMiuAFBVV95cUxOWl9Zb2NwMXFSM2pITk94emwyNXk5SnRibzlLWmQ4T0pPbGVqX1Fid3hmbnY4bUhLRThsYlJGaV93dC13NHo4N0lyY2dUMUJXa2p0cTkzMEtRVjFFYWxDWV9QV3dHVnJQSDlDaWhrMTdfT25KZnJ3QnZaRkQ3aEd6V2xfendLeWo5RnBkejFESWtWb1lIcDdXUmtNeFYzZzRCYTNyYU44VkFmYlFocEV5bF9MY1RYamdE?oc=5,,
20 September 2026,jatimupdate.id,jatimupdate.id,Akademik & Umum,Prodi Ilmu Politik UNESA Gelar PKM Literasi Digital Keluarga untuk Tangkal Hoaks dan Polarisasi Sosial - jatimupdate.id,Netral,-,Portal Kampus/Lain,https://news.google.com/rss/articles/CBMi0gFBVV95cUxORzZsY1VWR2R0S3BIVTV6RldoRTg3MW9yUHNpLVF2a01vTk9fZndydlNxekJicFlBTGlTeXVhX3R2Y0w4QWxSVWEwOEdWcEl4TU1HMGQ5c2U0VVh4alZ1a1oteV9KNnVURGJPOW9mVHFSNjhBTTNRaFVFckltRkJWQk9Vdk5tcDhvbHZLLUxiTHR3RHRRTGdjY3dlQ0VlVGNZV2tJekVhdVM3VGdOcW5QR2dwTXpNZFozeU1rNW5kTjdjOTdNNjRobzJGSE4wWEFfZlE?oc=5,,
